Titulo/Contrato;Vencimento do Titulo/Contrato;Valor do Estoque;Quantidade do Estoque;Mes do Estoque;Classe da Carteira;Tipo de Divida
TDAE120255;01/02/2024;1079854,80;10680,00;06/2018;Mercado;Dívida Interna
TDAE120438;01/04/2022;48253,02;482,00;06/2018;Mercado;Dívida Interna
TDAE980878;01/08/2018;170144,00;1636,00;06/2018;Mercado;Dívida Interna
TDA24090300;01/09/2024;17089,28;169,00;06/2018;Mercado;Dívida Interna
LFT 010323;01/03/2023;134257731913,73;14044631,71;06/2018;Mercado;Dívida Interna
NTN-B Principal 150545;15/05/2045;991451303,24;1287523,26;06/2018;Mercado;Dívida Interna
TDA32050200;01/05/2032;129914,24;1312,00;06/2018;Mercado;Dívida Interna
TDA35050200;01/05/2035;130336,64;1316,00;06/2018;Mercado;Dívida Interna
TDA25050200;01/05/2025;129874,88;1312,00;06/2018;Mercado;Dívida Interna
TDA31050300;01/05/2031;292202,90;2945,00;06/2018;Mercado;Dívida Interna
TDA30050200;01/05/2030;129914,24;1312,00;06/2018;Mercado;Dívida Interna
TDAD05J418;01/10/2025;150781,36;1516,00;07/2018;Mercado;Dívida Interna
TDAD05K412;01/11/2019;1666198,85;16771,00;07/2018;Mercado;Dívida Interna
TDAD05K413;01/11/2020;1719623,52;17307,00;07/2018;Mercado;Dívida Interna
TDAD05L238;01/12/2020;982864,89;9771,00;07/2018;Mercado;Dívida Interna
TDAD11G417;01/07/2030;1751825,00;17740,00;07/2018;Mercado;Dívida Interna
TDAD11L331;01/12/2020;563061,96;5634,00;07/2018;Mercado;Dívida Interna
TDAD12D232;01/04/2021;1923961,06;19313,00;07/2018;Mercado;Dívida Interna
TDA27120300;01/12/2027;5456639,10;54214,00;07/2018;Mercado;Dívida Interna
TDA24070200;01/07/2024;18977,28;192,00;07/2018;Mercado;Dívida Interna
TDA25060300;01/06/2025;21916,57;221,00;07/2018;Mercado;Dívida Interna
TDA19070200;01/07/2019;18969,60;192,00;07/2018;Mercado;Dívida Interna
TDA24030300;01/03/2024;502847,03;5033,00;07/2018;Mercado;Dívida Interna
TDA25040300;01/04/2025;85300,40;856,00;07/2018;Mercado;Dívida Interna
TDA25120200;01/12/2025;1408295,50;14090,00;07/2018;Mercado;Dívida Interna
TDAD03K418;01/11/2023;74694,46;751,00;08/2018;Mercado;Dívida Interna
TDAD03L337;01/12/2018;1247370,60;12460,00;08/2018;Mercado;Dívida Interna
TDAD03L338;01/12/2019;1252651,40;12514,00;08/2018;Mercado;Dívida Interna
TDAD03L340;01/12/2021;1269047,62;12674,00;08/2018;Mercado;Dívida Interna
TDAD03L418;01/12/2023;494216,74;4973,00;08/2018;Mercado;Dívida Interna
TDAD04C418;01/03/2024;87738,90;885,00;08/2018;Mercado;Dívida Interna
TDAD04D416;01/04/2022;28427,35;287,00;08/2018;Mercado;Dívida Interna
